collocate,raw_frequency,MI
l,14,5.763830090451059
complement,1,7.313049142892104
of,491,2.9770829039698303
crew,2,4.8550155113552
a,541,3.2319935742280053
captain,11,3.9832087000117804
gay,3,4.376616611619404
and,830,3.178274139172351
venturous,1,8.101506503256374
provident,1,6.938355693450693
the,889,2.746588596020469
knock,2,4.251358901546316
down,11,2.1945605748745183
i,317,2.940067340842405
see,24,2.876387266483938
some,29,2.9645344295710028
women,9,3.4103625154106463
r,50,7.634006004228757
than,38,3.2750471157774146
men,81,4.699321954682858
there,54,2.9099292043335896
is,159,3.466635329639914
one,54,2.9878615004620483
yonder,5,4.994747041383659
g,12,7.641974173877934
yes,17,3.3298386468016363
they,54,2.8470341123600837
viewed,1,5.280127616847161
me,93,3.0555188585504878
felt,13,3.2134735312524505
if,59,2.9876010122903742
not,115,2.951331661487261
yet,32,3.706973628518244
little,44,3.1874488585314085
desperate,1,3.4844077464030088
half,3,1.7733316526292566
glow,3,4.6589539359123044
he,324,3.1927954772771674
stood,12,3.307784210723692
in,248,2.903550714845597
her,149,2.722734700302001
presence,4,3.381669242290157
bashful,1,5.904281925920155
subdued,1,3.896813883865408
unobtrusive,1,6.184583891074313
y,24,7.154727445547508
come,28,3.081438660156735
rosine,1,6.127425477234365
bear,20,4.895448569639092
your,40,2.994957867511822
own,29,3.2486683760909885
burden,2,4.236575105362078
be,147,3.3812679594469657
charge,3,3.90380342804712
once,14,3.0628324183961992
more,39,3.045777519034833
mademoiselle,2,4.324158401154829
it,212,2.979550649952103
right,8,2.7255338921427334
to,453,2.8712871618949234
look,15,3.0117725366912174
our,29,3.3620516511523992
life,19,3.090073382721033
accounts,1,4.01385092918507
ly,192,12.025150894935052
face,25,3.302152067931816
now,47,3.1999489955048532
then,23,2.5125982554675526
settle,1,3.325750016692749
t,86,3.4485855036423203
have,97,3.0449772197288483
you,240,3.1866440042558026
ask,5,2.861878133057017
lucy,9,4.507010710660128
said,76,2.9059106693074948
speak,5,2.649953160809479
out,32,2.7237678090540367
but,160,3.337682331968127
was,239,3.024541856362817
no,55,2.919989223015876
or,1,-0.8430010094195346
instinct,53,7.246457369436005
placed,1,2.5473741233018545
amongst,2,3.328826014849184
this,1,-1.128274451671329
band,48,7.507174680611832
left,2,1.255035704553988
alone,6,2.9841286604443344
passive,2,5.385662994231622
both,1,0.9662360012774759
capital,10,5.798680060079282
ghost,1,3.532077848421139
seers,2,7.837993473585009
very,1,-0.5733303736341039
what,70,3.195227546330206
wonder,47,5.708451847526523
at,2,-0.9467636282688322
rather,94,5.199317263099329
an,10,1.454273352035144
enterprising,1,6.2452085128907475
patient,54,7.081603910166573
course,1,0.8144585971681073
could,4,0.6884761487536998
flag,5,5.937042630393142
few,31,4.385237695299429
things,2,1.233639028849049
s,9,0.6002389640411123
theobald,16,8.682249070652695
squired,165,14.64419304617131
by,1,-1.1359006498068696
mr,1,-0.5659124341223464
kingcroft,58,11.223020422531668
had,21,1.1476337347831893
d,1,1.1496639459108067
journey,162,7.475104524434143
from,56,2.8553717296974126
yorkshire,2,5.135084671983218
bid,39,7.163246090862158
did,1,-0.3384515184194395
detect,2,5.711594948817402
wincing,28,9.349024629325864
she,1,-1.9583511559816946
talked,1,2.184619976865502
till,179,5.91430047973874
end,5,2.674704942546708
disgusting,11,7.766677652378891
meal,11,5.662864473877769
petted,1,5.567809689298942
him,1,-1.434917552374193
on,1,-1.5399653194693013
his,100,2.497184622496443
return,79,5.9849561816264005
calling,217,8.102656589639611
hero,3,4.465621729570661
other,2,0.6432654613702873
endearing,6,8.062986005724397
epithets,15,9.035734935817196
good,1,-0.1963756111115585
fortune,1,2.244744477626434
for,55,2.2070185581459945
are,4,0.7952201007690021
son,160,6.233011291435888
man,92,3.9483998870095434
true,8,3.4348936393464076
friend,136,5.568836891728593
ve,21,3.8617388915872928
resolution,13,6.057889150603461
straight,9,4.344345541726033
woman,3,1.4883932465238205
as,3,-0.6562554655730487
well,22,2.83030165767522
peevish,218,10.865422617774513
ry,36,9.745176316548243
why,1,0.39015388161935133
needed,88,7.549059204799564
always,14,3.163492988868193
praise,1,3.4629015411820454
so,18,1.7635991795502233
thought,1,0.025409885612080435
should,131,4.491272361249408
timid,25,7.1856572481290835
ached,22,8.31335049931665
wreck,4,6.103363845840656
cam,2,6.022064961576538
adventurous,1,5.521289673664048
bu,3,10.114113311538288
compel,1,5.200084909173625
standing,1,1.8271415563138982
close,1,1.6114536626330869
my,2,-0.7626621925281982
heriot,5,5.966227982388158
trembling,112,7.570027411711662
studious,3,6.8560167735168065
h,1,3.45311169413175
where,1,0.1770141002588065
asked,22,3.630019983017341
do,21,2.344902072888003
thing,10,2.9417686519892445
which,42,2.5376169374054665
would,12,1.4629411463409108
never,51,3.63377505997967
forget,56,6.251427136302661
bed,19,4.403263882184776
every,1,0.6214415671586547
night,5,2.0222658333372276
dream,18,5.361987336447692
oh,6,2.368232185413192
dear,2,1.200456759657518
walter,19,6.4123285954420055
harry,12,4.180059081959707
heir,1,3.489518234002343
spirited,9,6.748004519241153
boy,2,1.7251705927850112
too,3,1.1670421431800602
sure,22,4.017747552005037
that,23,0.9287905410096843
kissed,13,4.991372481328867
re,196,6.2669814451112655
we,3,0.28134357738117016
go,23,3.024891198731992
together,49,4.975402173926629
sa,26,9.50896037999894
outfitter,3,10.114113311538288
drunken,3,5.592324734489249
agent,1,3.9583717768648414
sailor,1,4.117383122471873
nourished,1,5.703611230458003
often,2,2.157970681118309
when,1,-0.8710696148541078
pony,5,5.418641296480928
hoofs,41,8.60888047006685
laughed,1,1.8064305355652572
called,1,1.0865589390552608
us,5,1.6872942591252906
boys,4,3.9731057716828913
temple,32,6.309781756853371
being,5,2.036770663963019
fr,3,10.115260758594765
ould,18,9.875042233527978
been,2,-0.14104794670042578
enjoying,2,4.8082314514447075
fruits,52,8.83453668519956
harmless,1,4.226147482199819
conspiracy,1,4.506937728613679
honour,1,2.0441767292673183
gracious,1,3.6275950889985404
stature,6,6.40937687497716
ceasing,2,6.18343512587044
aspect,1,3.11494880018706
calls,1,3.5657652444048145
squat,2,6.596280341276227
goths,2,7.837993473585009
can,1,-0.2701948717095649
e,1,3.4007273315361832
proved,36,6.552702950872587
has,50,3.675833947856378
passed,4,2.6159679647254315
most,25,3.690033783328243
ordeal,1,4.9924455443953795
shall,17,3.013067444391623
put,1,0.5678327087821533
revenge,15,6.58705146787415
st,5,4.139254631812575
purest,2,5.859648048776543
soul,66,5.763140480942533
worship,1,3.6006271625710333
delighting,7,8.514487469528875
conscious,2,3.3004434752718974
eyes,1,0.1052241031355582
engaging,1,5.245036297035891
mine,16,4.29455797521627
shadowy,1,4.044517727578042
wi,2,3.710767927980471
like,1,-0.49829310936220117
all,2,-0.488672597538998
better,38,4.244677279355209
partisan,74,11.226386236807606
don,12,2.447736567918278
expect,1,2.5346898836733307
p,15,6.709397661415511
b,1,4.382499275886331
brother,7,3.4196435113377173
gone,13,3.4683558504119363
way,4,1.4713388239155318
english,4,3.1212293039309227
fellows,18,5.91545522651828
class,6,4.841532859841897
with,18,1.0453478000834913
frown,1,4.439094943509965
set,132,5.914174537552078
lips,2,2.3468007643511544
figure,9,4.116614826404916
act,4,3.83346141063225
league,5,7.126140422091243
governing,3,7.19634257945401
princes,1,4.906923370957218
dare,1,2.3976765201501733
