collocate,raw_frequency,MI
kindling,1,5.302698439880292
once,14,2.7309738001084987
to,376,2.402121393785952
originality,1,5.302698439880292
or,102,3.398153446646325
showing,1,2.834886223451592
a,1049,3.543337231058295
gleam,1,3.3937838785015737
of,587,2.816741878671853
the,795,2.429877058853246
peculiarities,1,4.847636390632756
her,124,2.221329096127166
nature,7,3.051534086631772
characters,3,4.865720066066051
as,118,2.459471731157206
given,3,2.2496037557182094
from,83,2.936678462439181
his,129,2.3033398550225375
lips,4,2.7069379160183575
description,1,3.424398514321181
an,32,2.2372355726729927
individual,6,5.124623173967788
seemed,10,2.3225100782275794
suffice,2,5.146129379188753
feelings,4,3.431375471529198
had,141,2.5470581535263377
their,23,2.3084278075839375
object,6,3.7973663377951214
which,63,2.6036276993265686
in,334,2.872577915587871
its,25,3.130725090078131
self,6,3.1646282850307363
was,222,2.6350667923362185
dear,12,2.649458824369254
me,59,2.275795733610083
over,15,2.24377619364668
reached,3,2.939289343153091
astuteness,1,7.0776507907919655
own,15,2.2587142153022617
person,18,4.107806288190103
she,111,2.2210424766515615
could,59,3.017844559506226
have,84,2.5741362490950546
comprised,2,6.435796904619571
duties,1,3.0363554496596805
almost,14,3.220536630541429
mortified,2,5.810703187304641
and,429,2.352188040864945
morose,1,5.551594487296916
sighed,1,2.8093529214464272
but,114,2.667024563414577
deep,3,2.4605520339386007
sigh,3,3.8182730226144352
loud,3,3.662112291859153
bell,5,3.808081851608247
looked,13,2.4159090083184784
at,80,2.298450900096409
reflected,2,3.7017712171141004
image,4,4.16258642030543
one,118,3.436878036999571
white,8,2.7022082839950996
hair,5,2.814670892467821
streaked,1,5.7967169453299014
nut,1,4.8055249052826285
brown,4,3.061267770039577
tresses,2,5.883728322319532
ray,4,5.5407835711927005
those,13,2.6630951078584992
adorable,1,5.391251837221737
eyes,12,2.242030478307227
how,12,1.9529430404358623
glance,11,4.516080641536293
would,49,2.4925260991840394
revived,1,4.133211811625525
i,214,2.2396890619304153
write,2,2.4015562664671757
ball,1,2.904803167081922
room,18,2.848872465426332
indeed,11,2.9723063436807755
not,227,3.293894834782853
male,3,4.53604879732742
spectator,1,4.652848065073671
be,78,2.4279534584522118
seen,4,1.847344634860473
who,30,2.3021584535703505
surprise,1,1.9747402205865392
with,162,2.768788025334069
few,8,2.724956421521036
words,8,2.5952133701861717
salute,2,4.8369411015160075
yet,21,2.95555443809254
daresay,1,3.1919717607034217
pleased,2,2.5789528493143914
causes,1,4.097032155048023
seeming,1,3.505305152933981
estrangement,1,5.391251837221737
touch,6,3.7306749632964493
on,98,2.6258296713622262
handed,32,6.318013868963188
conflict,1,4.298831518801548
life,26,3.074171174875485
death,4,2.465504991067449
understood,3,3.268768544283333
presently,1,1.7838435797218153
that,212,2.598801714266962
cheerfully,1,3.8389723386275856
habitually,1,4.7167967896739444
minded,11,5.559531036892653
unconsciousness,1,5.08977644263762
any,43,3.184672898866359
special,3,3.7646776425446498
merit,2,4.452982198628807
distinguishing,1,5.85387535916985
expansion,1,5.914499980986285
feeling,5,2.7716955930693796
give,13,2.9132540892454046
holiday,4,4.644037435391516
no,53,2.5535289712164135
faculty,1,4.323990078437704
dally,1,6.815286526324475
friendly,1,2.582295470811081
exchange,1,3.76346478611944
foster,1,4.410422584210011
letter,5,2.500057372574109
whose,11,3.3115998799703728
face,12,2.237474360947153
enamelled,1,6.815286526324475
cyclop,1,9.380235883786012
s,75,2.196431649725192
eye,9,3.529950950140809
vermilion,1,5.824887822296598
red,5,2.7899348355893254
now,37,2.629509374347472
will,17,1.8291417536265149
again,10,1.9411467204065331
take,15,2.7608740413262014
away,11,2.2394947392711635
epistle,1,5.190581141759586
being,21,3.1229294915598422
mine,9,3.404449149397259
think,16,2.3417813438809447
it,147,2.302419327003524
my,58,2.1485247965313565
destiny,2,4.512701433330429
conduct,4,3.955285866304609
pondered,1,4.559954318180974
break,2,2.8420960600183416
brought,7,2.7788116845131006
out,35,2.4815213494560235
drawing,5,3.2875694561690625
forth,2,2.3604921028558272
thick,3,3.4209502350422647
volume,1,3.447990696338001
handful,1,4.50503856058486
pamphlets,1,6.8953292339980115
honour,1,1.7065477545182814
tell,6,1.8106521075013564
you,134,2.316433994855282
exception,6,5.87367798646603
every,36,3.850871060824637
classe,1,5.175543264395046
has,30,2.8629215704360584
offered,1,2.2901590480099197
sheet,7,5.372902698553541
lightning,1,3.615044781001167
shape,4,4.054789849849723
bantering,1,6.489864125889847
smile,3,2.3887523892731624
then,25,2.2652713325021407
there,98,3.1710837855624043
however,13,3.5116357833815934
blind,1,2.602589290150895
casement,1,4.292639548553628
closed,2,2.6534031406841216
through,11,2.4524997402734647
gloom,2,3.8708475471580344
by,124,3.289619903305947
except,6,3.2968760719737737
for,134,2.649286248772984
instant,6,4.053169103951989
when,29,2.117244626714569
look,12,2.4587465584348505
rather,7,2.362345789985748
solicitous,1,5.824887822296598
than,31,2.740739628631712
silas,1,5.160728178609905
stooped,1,3.6087947606559956
seat,3,3.1130353352446494
occupant,3,6.335713446062589
rustic,1,4.2040861512121825
bench,1,3.330502428554054
notion,3,3.9045984368168063
meeting,2,2.931346489639154
distress,1,3.3862744564794425
some,15,1.9791674327891817
quarter,2,3.201254963006971
biscuit,1,5.036430461932327
china,1,3.8311597988907917
recess,1,4.551922146483711
ample,1,4.081918517237975
window,7,3.097435234047637
filled,3,3.1995293370395013
green,5,3.1130353352446494
revealed,1,3.5223027293025524
house,16,2.647727247925867
nothing,13,2.511861330758521
narrow,5,4.045586587990584
circle,1,2.9569889202524915
very,22,2.104371283239479
day,30,3.1066874295268327
proof,1,2.9866451298353796
against,20,3.434737025228735
post,3,3.447106913690993
card,1,3.153699214498546
two,28,3.040122529386447
new,10,2.8240258709226085
monteriano,1,5.237101157394479
singles,1,7.588476414557957
returns,1,3.536691466754652
said,41,1.9486461929100836
he,201,2.4352464936230263
harriet,1,2.892551865301401
peevishly,1,5.619035768092449
shall,7,1.7981780347089131
persistency,1,6.12213934576453
woe,3,5.157491086254013
were,46,2.4231227908386725
gathered,2,3.1991845688926626
fount,2,6.815286526324475
roads,1,3.6372326959765293
coated,1,5.337184615951461
part,5,2.3962605788924654
never,46,3.2376564931922704
second,9,3.667145545372304
regret,4,4.344907977099385
decision,1,3.236050249660366
evade,2,6.6393958598608105
difficulties,1,3.391274466896148
cut,5,3.400337973049495
off,16,2.906496365889199
coming,3,2.0426481402474157
back,8,1.8099859493823633
file,13,7.10017273171279
little,24,2.2497790999804623
paths,1,3.9957408209969225
scarcely,8,3.9292421748624244
village,2,2.860351404511088
miles,1,2.2147424087251655
end,9,2.9248626326997904
beast,2,3.973064112325893
cur,1,5.742649724059626
wish,9,3.0989991708857136
thing,28,3.6383780402776607
altered,1,3.1878733943111395
andrew,1,4.520423479424339
better,11,2.7037250618490325
realise,1,4.052359714996431
these,7,1.9358201638687353
days,10,3.030096659435361
know,21,2.354021422932783
scowled,1,5.619035768092449
ahead,1,3.6276632449603783
parted,1,2.770886640618631
curtain,2,3.8409350477954343
displayed,2,4.755263070501741
behind,10,3.2177635397843485
distinct,1,3.602583560563355
hare,1,5.01078803131899
erect,1,3.6087947606559956
wave,2,4.238572327283352
falling,2,3.241429498780102
alien,1,4.869376377269162
processes,1,5.691356429672076
domestic,1,3.14582515806764
hard,7,2.996729248902006
bright,2,2.3253545399135804
like,34,2.655471973475556
diamond,3,5.15097200366454
pushing,1,3.6665030782766426
way,15,2.446163296486501
up,26,2.183473234234275
path,1,2.320618255494628
sometimes,4,2.791653344347026
went,14,2.433672291445984
fast,2,2.8596147562273155
originally,1,4.403502141365437
wait,1,1.7980066895095506
minute,7,3.8930706839427445
so,36,2.0087574805194652
far,11,2.9442312136757476
advanced,1,2.8879960487655403
neighbourhood,2,3.512352398449384
knew,10,2.479505219740839
boy,7,2.623968167211649
changed,8,4.015428775969142
places,2,3.0460685503061806
slap,1,4.914327765131428
thigh,1,5.285891321563911
we,34,2.3224104342946434
played,4,3.8577754655906817
wicket,2,5.519506172745416
side,11,2.854673176889416
game,1,2.5112214331203053
giving,3,3.0751778824417477
six,3,2.913054890025607
master,5,2.865460803814672
harry,5,2.9773241568923177
bet,1,4.198452333493926
ll,7,2.1018041412293282
something,5,1.8067046210400612
relate,1,4.7750656977979204
having,10,2.8845887031959094
beaten,1,3.3471496619872103
enemy,3,3.6654035729432257
run,3,2.7111608952672133
richmond,2,4.379650925543257
go,9,1.7536115312463196
riversley,3,5.481635898690006
acute,2,4.891599514053872
saw,3,1.2381726006818656
idea,8,3.3788210058248613
head,9,2.264112339071819
shift,2,5.400554229884051
long,16,2.606440660719951
undividedly,1,9.380235883786012
gathers,1,5.85387535916985
light,24,3.713665030748656
ladyship,2,3.2446709927042727
favour,2,3.3187789648579944
account,3,2.9489048018525326
virtue,2,3.7259938546899467
drooping,1,4.336810766866765
waved,2,4.069495997239418
him,70,2.3587667074638463
embarked,1,5.391251837221737
controversy,1,5.7693179711417875
intention,5,4.398282155015974
knocking,2,4.810692875441071
down,13,2.0309061276332216
man,69,3.275249291948393
condemn,2,5.642566265502643
bee,2,5.755894950809647
suck,1,5.716674237656365
flower,3,3.6853820398741117
ha,1,2.0169562968229733
strain,2,4.215449909862498
compliments,2,4.452982198628807
night,18,2.9729939534498917
ready,2,2.0640199877159113
delivery,1,4.826358992185471
antithesis,1,6.982340610987641
laudable,1,6.048031373610808
performance,1,3.646894606888266
mouse,1,4.512701433330429
fable,1,5.2693620196127
lieschen,1,6.8953292339980115
next,7,2.7791998832757394
dots,1,6.048031373610808
sky,2,2.6175063768541325
movement,9,4.749831226619379
valley,1,2.929765461641835
concealed,2,4.232741406972559
buried,4,4.362956046971087
somewhat,2,2.582853662285245
likeness,1,3.6533881361988145
soon,1,0.7822003045256734
after,13,2.170781842122958
luckless,1,5.551594487296916
observation,1,3.330502428554054
passed,6,2.6941668851201057
our,19,2.6073361820446657
faithful,4,4.12274051175823
waiting,1,1.7492893028955525
woman,28,3.371196356269444
manservant,1,6.489864125889847
want,5,2.1134085362654207
money,4,2.167572751687025
even,22,2.9724617820116115
must,15,2.2431924689358973
fight,5,3.9939076399152618
can,33,2.854089393897567
beat,1,2.6014509861008346
settees,1,7.588476414557957
