nodeA,nodeB,weight
Florence L. Barclay,G. P. Putnam's,1
Christobel Charteris,Florence L. Barclay,10
Florence L. Barclay,Mollie,28
Christobel,Florence L. Barclay,95
Florence L. Barclay,Phil,5
Florence L. Barclay,Martha,141
Florence L. Barclay,Guy Chelsea,8
Florence L. Barclay,Guy,10
Florence L. Barclay,Miss Charteris,43
Fanks,Florence L. Barclay,4
Florence L. Barclay,Little Boy Blue,5
Charteris,Florence L. Barclay,39
Florence L. Barclay,Joan,1
Diana,Florence L. Barclay,2
Boy Blue,Florence L. Barclay,3
Boy,Florence L. Barclay,8
Florence L. Barclay,Hush,2
Florence L. Barclay,Jenkins,15
Florence L. Barclay,Noah,1
Florence L. Barclay,William Allen Richardson,1
Florence L. Barclay,Pickwick,1
Florence L. Barclay,Maid,1
Elizabeth,Florence L. Barclay,2
Florence L. Barclay,Goody,1
Florence L. Barclay,bin,1
Florence L. Barclay,Lucy,2
Clara,Florence L. Barclay,2
Florence L. Barclay,Sarah,1
Florence L. Barclay,Sally,1
Amelia,Florence L. Barclay,1
Caroline,Florence L. Barclay,1
Florence L. Barclay,Miss Hann,8
Florence L. Barclay,Hann,4
E'll,Florence L. Barclay,1
Florence L. Barclay,M. A. Chelsea,1
Baby Boy,Florence L. Barclay,1
Florence L. Barclay,Russell,1
Ann,Florence L. Barclay,62
Florence L. Barclay,Ran,1
Florence L. Barclay,Kenrick Harvey,1
Ann Harvey's,Florence L. Barclay,1
Florence L. Barclay,Miss Harvey,1
Ann Harvey,Florence L. Barclay,4
Florence L. Barclay,Kenrick,7
Florence L. Barclay,Miss Ann,11
Emma,Florence L. Barclay,9
Florence L. Barclay,Miss Ann's,2
Florence L. Barclay,Sweet,1
Florence L. Barclay,Miss Christobel,2
Florence L. Barclay,Sweetie,1
Florence L. Barclay,Lady Goldsmith,4
Boulogne,Florence L. Barclay,2
Florence L. Barclay,Slinker,3
Florence L. Barclay,Taylor,5
Florence L. Barclay,Southwark Cathedral,1
Florence L. Barclay,Sevenoaks,1
Florence L. Barclay,Library,1
Bill,Florence L. Barclay,1
Chelsea,Florence L. Barclay,1
Florence L. Barclay,Lively,1
Florence L. Barclay,Saint Mark,1
Darling Christobel,Florence L. Barclay,1
Florence L. Barclay,Sanskrit,1
Christobel Charteris,G. P. Putnam's,10
G. P. Putnam's,Mollie,28
Christobel,G. P. Putnam's,95
G. P. Putnam's,Phil,5
G. P. Putnam's,Martha,141
G. P. Putnam's,Guy Chelsea,8
G. P. Putnam's,Guy,10
G. P. Putnam's,Miss Charteris,43
Fanks,G. P. Putnam's,4
G. P. Putnam's,Little Boy Blue,5
Charteris,G. P. Putnam's,39
G. P. Putnam's,Joan,1
Diana,G. P. Putnam's,2
Boy Blue,G. P. Putnam's,3
Boy,G. P. Putnam's,8
G. P. Putnam's,Hush,2
G. P. Putnam's,Jenkins,15
G. P. Putnam's,Noah,1
G. P. Putnam's,William Allen Richardson,1
G. P. Putnam's,Pickwick,1
G. P. Putnam's,Maid,1
Elizabeth,G. P. Putnam's,2
G. P. Putnam's,Goody,1
G. P. Putnam's,bin,1
G. P. Putnam's,Lucy,2
Clara,G. P. Putnam's,2
G. P. Putnam's,Sarah,1
G. P. Putnam's,Sally,1
Amelia,G. P. Putnam's,1
Caroline,G. P. Putnam's,1
G. P. Putnam's,Miss Hann,8
G. P. Putnam's,Hann,4
E'll,G. P. Putnam's,1
G. P. Putnam's,M. A. Chelsea,1
Baby Boy,G. P. Putnam's,1
G. P. Putnam's,Russell,1
Ann,G. P. Putnam's,62
G. P. Putnam's,Ran,1
G. P. Putnam's,Kenrick Harvey,1
Ann Harvey's,G. P. Putnam's,1
G. P. Putnam's,Miss Harvey,1
Ann Harvey,G. P. Putnam's,4
G. P. Putnam's,Kenrick,7
G. P. Putnam's,Miss Ann,11
Emma,G. P. Putnam's,9
G. P. Putnam's,Miss Ann's,2
G. P. Putnam's,Sweet,1
G. P. Putnam's,Miss Christobel,2
G. P. Putnam's,Sweetie,1
G. P. Putnam's,Lady Goldsmith,4
Boulogne,G. P. Putnam's,2
G. P. Putnam's,Slinker,3
G. P. Putnam's,Taylor,5
G. P. Putnam's,Southwark Cathedral,1
G. P. Putnam's,Sevenoaks,1
G. P. Putnam's,Library,1
Bill,G. P. Putnam's,1
Chelsea,G. P. Putnam's,1
G. P. Putnam's,Lively,1
G. P. Putnam's,Saint Mark,1
Darling Christobel,G. P. Putnam's,1
G. P. Putnam's,Sanskrit,1
Christobel Charteris,Mollie,280
Christobel,Christobel Charteris,950
Christobel Charteris,Phil,50
Christobel Charteris,Martha,1410
Christobel Charteris,Christobel Charteris,45
Christobel Charteris,Guy Chelsea,80
Christobel Charteris,Guy,100
Christobel Charteris,Miss Charteris,430
Christobel Charteris,Fanks,40
Christobel Charteris,Little Boy Blue,50
Charteris,Christobel Charteris,390
Christobel Charteris,Joan,10
Christobel Charteris,Diana,20
Boy Blue,Christobel Charteris,30
Boy,Christobel Charteris,80
Christobel Charteris,Hush,20
Christobel Charteris,Jenkins,150
Christobel Charteris,Noah,10
Christobel Charteris,William Allen Richardson,10
Christobel Charteris,Pickwick,10
Christobel Charteris,Maid,10
Christobel Charteris,Elizabeth,20
Christobel Charteris,Goody,10
Christobel Charteris,bin,10
Christobel Charteris,Lucy,20
Christobel Charteris,Clara,20
Christobel Charteris,Sarah,10
Christobel Charteris,Sally,10
Amelia,Christobel Charteris,10
Caroline,Christobel Charteris,10
Christobel Charteris,Miss Hann,80
Christobel Charteris,Hann,40
Christobel Charteris,E'll,10
Christobel Charteris,M. A. Chelsea,10
Baby Boy,Christobel Charteris,10
Christobel Charteris,Russell,10
Ann,Christobel Charteris,620
Christobel Charteris,Ran,10
Christobel Charteris,Kenrick Harvey,10
Ann Harvey's,Christobel Charteris,10
Christobel Charteris,Miss Harvey,10
Ann Harvey,Christobel Charteris,40
Christobel Charteris,Kenrick,70
Christobel Charteris,Miss Ann,110
Christobel Charteris,Emma,90
Christobel Charteris,Miss Ann's,20
Christobel Charteris,Sweet,10
Christobel Charteris,Miss Christobel,20
Christobel Charteris,Sweetie,10
Christobel Charteris,Lady Goldsmith,40
Boulogne,Christobel Charteris,20
Christobel Charteris,Slinker,30
Christobel Charteris,Taylor,50
Christobel Charteris,Southwark Cathedral,10
Christobel Charteris,Sevenoaks,10
Christobel Charteris,Library,10
Bill,Christobel Charteris,10
Chelsea,Christobel Charteris,10
Christobel Charteris,Lively,10
Christobel Charteris,Saint Mark,10
Christobel Charteris,Darling Christobel,10
Christobel Charteris,Sanskrit,10
Mollie,Mollie,378
Christobel,Mollie,2660
Mollie,Phil,140
Martha,Mollie,3948
Guy Chelsea,Mollie,224
Guy,Mollie,280
Miss Charteris,Mollie,1204
Fanks,Mollie,112
Little Boy Blue,Mollie,140
Charteris,Mollie,1092
Joan,Mollie,28
Diana,Mollie,56
Boy Blue,Mollie,84
Boy,Mollie,224
Hush,Mollie,56
Jenkins,Mollie,420
Mollie,Noah,28
Mollie,William Allen Richardson,28
Mollie,Pickwick,28
Maid,Mollie,28
Elizabeth,Mollie,56
Goody,Mollie,28
Mollie,bin,28
Lucy,Mollie,56
Clara,Mollie,56
Mollie,Sarah,28
Mollie,Sally,28
Amelia,Mollie,28
Caroline,Mollie,28
Miss Hann,Mollie,224
Hann,Mollie,112
E'll,Mollie,28
M. A. Chelsea,Mollie,28
Baby Boy,Mollie,28
Mollie,Russell,28
Ann,Mollie,1736
Mollie,Ran,28
Kenrick Harvey,Mollie,28
Ann Harvey's,Mollie,28
Miss Harvey,Mollie,28
Ann Harvey,Mollie,112
Kenrick,Mollie,196
Miss Ann,Mollie,308
Emma,Mollie,252
Miss Ann's,Mollie,56
Mollie,Sweet,28
Miss Christobel,Mollie,56
Mollie,Sweetie,28
Lady Goldsmith,Mollie,112
Boulogne,Mollie,56
Mollie,Slinker,84
Mollie,Taylor,140
Mollie,Southwark Cathedral,28
Mollie,Sevenoaks,28
Library,Mollie,28
Bill,Mollie,28
Chelsea,Mollie,28
Lively,Mollie,28
Mollie,Saint Mark,28
Darling Christobel,Mollie,28
Mollie,Sanskrit,28
Christobel,Phil,475
Christobel,Martha,13395
Christobel,Guy Chelsea,760
Christobel,Guy,950
Christobel,Miss Charteris,4085
Christobel,Fanks,380
Christobel,Little Boy Blue,475
Christobel,Christobel,4465
Charteris,Christobel,3705
Christobel,Joan,95
Christobel,Diana,190
Boy Blue,Christobel,285
Boy,Christobel,760
Christobel,Hush,190
Christobel,Jenkins,1425
Christobel,Noah,95
Christobel,William Allen Richardson,95
Christobel,Pickwick,95
Christobel,Maid,95
