nodeA,nodeB,weight
Arnold Bennett,Turnhill,1
Arnold Bennett,James Ollerenshaw,64
Arnold Bennett,Ollerenshaw,56
Arnold Bennett,Jimmy Ollerenshaw,6
Arnold Bennett,James,213
Arnold Bennett,Ephraim Tellwright,1
Arnold Bennett,Susan,30
Arnold Bennett,Longshaw,14
Arnold Bennett,Rathbone,3
Arnold Bennett,Helen Rathbone's,1
Arnold Bennett,Josiah Wedgwood,1
Arnold Bennett,Helen,128
Arnold Bennett,Prockter,144
Arnold Bennett,Helen Rathbone,2
Arnold Bennett,Bratt,7
Arnold Bennett,Glasgow,12
Arnold Bennett,Moorthorne,2
Arnold Bennett,Avert,1
Arnold Bennett,Emanuel Prockter,27
Arnold Bennett,Prockter  ,1
Arnold Bennett,James Ollerenshaw's,3
Arnold Bennett,Trafalgar,6
Arnold Bennett,Nos,1
Arnold Bennett,Beau Brummel,1
Arnold Bennett,Whitaker,1
Arnold Bennett,Butt,36
Arnold Bennett,Uncle,5
Arnold Bennett,Mester Ollerenshaw,1
Arnold Bennett,Susan - an afternoon,1
Arnold Bennett,Prockter - a,1
Arnold Bennett,George Frederick Handel,1
Arnold Bennett,Robin Adair,1
Arnold Bennett,Yorkshire,5
Arnold Bennett,Confucius,1
Arnold Bennett,Uncle James,7
Arnold Bennett,Shakespearean,1
Arnold Bennett,Sarah Swetnam,15
Arnold Bennett,Swetnam,5
Arnold Bennett,Sally,8
Arnold Bennett,Sarah,30
Arnold Bennett,Brunt,5
Arnold Bennett,Lilian,2
Andrew Dean,Arnold Bennett,36
Arnold Bennett,Nell,1
Arnold Bennett,Jane,1
Arnold Bennett,Jimmy,16
Arnold Bennett,Dean,10
Arnold Bennett,Churchman,1
Arnold Bennett,Emanuel,6
Arnold Bennett,Georgiana,20
Arnold Bennett,Jarndyce,5
Arnold Bennett,Kiel,1
Arnold Bennett,Flora Prockter,1
Arnold Bennett,Flora,1
Arnold Bennett,Ted,1
Arnold Bennett,Ronald,1
Arnold Bennett,Ronald Swetnam,1
Arnold Bennett,Jos,3
Arnold Bennett,Jos Swetman,1
Arnold Bennett,Jos Swetnam,3
Arnold Bennett,Emanuel Prockter's,1
Arnold Bennett,Joe,1
Arnold Bennett,Benskin,2
Andrew,Arnold Bennett,10
Arnold Bennett,Wilbrahams,4
Arnold Bennett,Carey,1
Arnold Bennett,Oldcastle,1
Arnold Bennett,Miser,1
Arnold Bennett,Ye,1
Arnold Bennett,Machiavelli,1
Arnold Bennett,Hanbridge,1
Arnold Bennett,Crewe,4
Arnold Bennett,Bass,1
Arnold Bennett,Helen - she,1
Arnold Bennett,Edinburgh,1
Arnold Bennett,Welsh,1
Arnold Bennett,Hurrah,1
Arnold Bennett,Crump,6
Arnold Bennett,Ezra Brunt,1
Arnold Bennett,Hall,2
Arnold Bennett,Emanuel Prockter - I,1
Arnold Bennett,Ye'll,1
Arnold Bennett,Light,1
Arnold Bennett,Glad,1
Arnold Bennett,Paisley,1
Arnold Bennett,Swetnams,1
Arnold Bennett,Joshua,1
Arnold Bennett,Mont Blanc,1
Arnold Bennett,Don Juan,1
Arnold Bennett,Norseman,1
Arnold Bennett,Buchanan,2
Arnold Bennett,Derby,1
Arnold Bennett,Bechstein,1
Arnold Bennett,Wiltshire,3
Arnold Bennett,Hush,1
Arnold Bennett,Nottingham,1
Arnold Bennett,Lilian Swetnam,1
Arnold Bennett,Fritz,3
Arnold Bennett,Dickens,1
Arnold Bennett,Charles Dickens,1
James Ollerenshaw,Turnhill,64
Ollerenshaw,Turnhill,56
Jimmy Ollerenshaw,Turnhill,6
James,Turnhill,213
Ephraim Tellwright,Turnhill,1
Susan,Turnhill,30
Longshaw,Turnhill,14
Rathbone,Turnhill,3
Helen Rathbone's,Turnhill,1
Josiah Wedgwood,Turnhill,1
Helen,Turnhill,128
Prockter,Turnhill,144
Helen Rathbone,Turnhill,2
Bratt,Turnhill,7
Glasgow,Turnhill,12
Moorthorne,Turnhill,2
Avert,Turnhill,1
Emanuel Prockter,Turnhill,27
Prockter  ,Turnhill,1
James Ollerenshaw's,Turnhill,3
Trafalgar,Turnhill,6
Nos,Turnhill,1
Beau Brummel,Turnhill,1
Turnhill,Whitaker,1
Butt,Turnhill,36
Turnhill,Uncle,5
Mester Ollerenshaw,Turnhill,1
Susan - an afternoon,Turnhill,1
Prockter - a,Turnhill,1
George Frederick Handel,Turnhill,1
Robin Adair,Turnhill,1
Turnhill,Yorkshire,5
Confucius,Turnhill,1
Turnhill,Uncle James,7
Shakespearean,Turnhill,1
Sarah Swetnam,Turnhill,15
Swetnam,Turnhill,5
Sally,Turnhill,8
Sarah,Turnhill,30
Brunt,Turnhill,5
Lilian,Turnhill,2
Andrew Dean,Turnhill,36
Nell,Turnhill,1
Jane,Turnhill,1
Jimmy,Turnhill,16
Dean,Turnhill,10
Churchman,Turnhill,1
Emanuel,Turnhill,6
Georgiana,Turnhill,20
Jarndyce,Turnhill,5
Kiel,Turnhill,1
Flora Prockter,Turnhill,1
Flora,Turnhill,1
Ted,Turnhill,1
Ronald,Turnhill,1
Ronald Swetnam,Turnhill,1
Jos,Turnhill,3
Jos Swetman,Turnhill,1
Jos Swetnam,Turnhill,3
Emanuel Prockter's,Turnhill,1
Joe,Turnhill,1
Benskin,Turnhill,2
Andrew,Turnhill,10
Turnhill,Wilbrahams,4
Carey,Turnhill,1
Oldcastle,Turnhill,1
Miser,Turnhill,1
Turnhill,Ye,1
Machiavelli,Turnhill,1
Hanbridge,Turnhill,1
Crewe,Turnhill,4
Bass,Turnhill,1
Helen - she,Turnhill,1
Edinburgh,Turnhill,1
Turnhill,Welsh,1
Hurrah,Turnhill,1
Crump,Turnhill,6
Ezra Brunt,Turnhill,1
Hall,Turnhill,2
Emanuel Prockter - I,Turnhill,1
Turnhill,Ye'll,1
Light,Turnhill,1
Glad,Turnhill,1
Paisley,Turnhill,1
Swetnams,Turnhill,1
Joshua,Turnhill,1
Mont Blanc,Turnhill,1
Don Juan,Turnhill,1
Norseman,Turnhill,1
Buchanan,Turnhill,2
Derby,Turnhill,1
Bechstein,Turnhill,1
Turnhill,Wiltshire,3
Hush,Turnhill,1
Nottingham,Turnhill,1
Lilian Swetnam,Turnhill,1
Fritz,Turnhill,3
Dickens,Turnhill,1
Charles Dickens,Turnhill,1
James Ollerenshaw,James Ollerenshaw,2016
James Ollerenshaw,Ollerenshaw,3584
James Ollerenshaw,Jimmy Ollerenshaw,384
James,James Ollerenshaw,13632
Ephraim Tellwright,James Ollerenshaw,64
James Ollerenshaw,Susan,1920
James Ollerenshaw,Longshaw,896
James Ollerenshaw,Rathbone,192
Helen Rathbone's,James Ollerenshaw,64
James Ollerenshaw,Josiah Wedgwood,64
Helen,James Ollerenshaw,8192
James Ollerenshaw,Prockter,9216
Helen Rathbone,James Ollerenshaw,128
Bratt,James Ollerenshaw,448
Glasgow,James Ollerenshaw,768
James Ollerenshaw,Moorthorne,128
Avert,James Ollerenshaw,64
Emanuel Prockter,James Ollerenshaw,1728
James Ollerenshaw,Prockter  ,64
James Ollerenshaw,James Ollerenshaw's,192
James Ollerenshaw,Trafalgar,384
James Ollerenshaw,Nos,64
Beau Brummel,James Ollerenshaw,64
James Ollerenshaw,Whitaker,64
Butt,James Ollerenshaw,2304
James Ollerenshaw,Uncle,320
James Ollerenshaw,Mester Ollerenshaw,64
James Ollerenshaw,Susan - an afternoon,64
James Ollerenshaw,Prockter - a,64
George Frederick Handel,James Ollerenshaw,64
James Ollerenshaw,Robin Adair,64
James Ollerenshaw,Yorkshire,320
Confucius,James Ollerenshaw,64
James Ollerenshaw,Uncle James,448
James Ollerenshaw,Shakespearean,64
James Ollerenshaw,Sarah Swetnam,960
James Ollerenshaw,Swetnam,320
James Ollerenshaw,Sally,512
James Ollerenshaw,Sarah,1920
Brunt,James Ollerenshaw,320
James Ollerenshaw,Lilian,128
Andrew Dean,James Ollerenshaw,2304
James Ollerenshaw,Nell,64
James Ollerenshaw,Jane,64
James Ollerenshaw,Jimmy,1024
Dean,James Ollerenshaw,640
Churchman,James Ollerenshaw,64
Emanuel,James Ollerenshaw,384
Georgiana,James Ollerenshaw,1280
James Ollerenshaw,Jarndyce,320
James Ollerenshaw,Kiel,64
Flora Prockter,James Ollerenshaw,64
Flora,James Ollerenshaw,64
James Ollerenshaw,Ted,64
James Ollerenshaw,Ronald,64
James Ollerenshaw,Ronald Swetnam,64
James Ollerenshaw,Jos,192
James Ollerenshaw,Jos Swetman,64
James Ollerenshaw,Jos Swetnam,192
Emanuel Prockter's,James Ollerenshaw,64
James Ollerenshaw,Joe,64
Benskin,James Ollerenshaw,128
Andrew,James Ollerenshaw,640
James Ollerenshaw,Wilbrahams,256
Carey,James Ollerenshaw,64
James Ollerenshaw,Oldcastle,64
James Ollerenshaw,Miser,64
James Ollerenshaw,Ye,64
James Ollerenshaw,Machiavelli,64
Hanbridge,James Ollerenshaw,64
Crewe,James Ollerenshaw,256
Bass,James Ollerenshaw,64
Helen - she,James Ollerenshaw,64
Edinburgh,James Ollerenshaw,64
James Ollerenshaw,Welsh,64
Hurrah,James Ollerenshaw,64
Crump,James Ollerenshaw,384
Ezra Brunt,James Ollerenshaw,64
Hall,James Ollerenshaw,128
Emanuel Prockter - I,James Ollerenshaw,64
James Ollerenshaw,Ye'll,64
James Ollerenshaw,Light,64
Glad,James Ollerenshaw,64
James Ollerenshaw,Paisley,64
James Ollerenshaw,Swetnams,64
James Ollerenshaw,Joshua,64
James Ollerenshaw,Mont Blanc,64
Don Juan,James Ollerenshaw,64
James Ollerenshaw,Norseman,64
Buchanan,James Ollerenshaw,128
Derby,James Ollerenshaw,64
Bechstein,James Ollerenshaw,64
James Ollerenshaw,Wiltshire,192
Hush,James Ollerenshaw,64
James Ollerenshaw,Nottingham,64
James Ollerenshaw,Lilian Swetnam,64
Fritz,James Ollerenshaw,192
Dickens,James Ollerenshaw,64
Charles Dickens,James Ollerenshaw,64
Jimmy Ollerenshaw,Ollerenshaw,336
Ollerenshaw,Ollerenshaw,1540
James,Ollerenshaw,11928
Ephraim Tellwright,Ollerenshaw,56
Ollerenshaw,Susan,1680
Longshaw,Ollerenshaw,784
Ollerenshaw,Rathbone,168
Helen Rathbone's,Ollerenshaw,56
Josiah Wedgwood,Ollerenshaw,56
