node,eigenvector,Betweenes,Degree
Clinton,0.47048215351573835,0.708718156027989,0.8080808080808082
Trump,0.3615149589788679,0.1559565082756176,0.4141414141414142
Bush,0.2536757967524109,0.060709890672784914,0.22222222222222224
Obama,0.23631201043222327,0.1048254878496066,0.21212121212121213
Rubio,0.23067030159982838,0.01821006245867099,0.17171717171717174
Donald Trump,0.22821796635836578,0.0026455026455026454,0.15151515151515152
Cruz,0.22310350804434514,0.005012221338751952,0.15151515151515152
Hillary Clinton,0.2226509946747892,0.0026815999914330153,0.15151515151515152
Ted Cruz,0.1784692660656614,0.0002061430632859204,0.09090909090909091
Marco Rubio,0.14636592720231625,0.0,0.07070707070707072
Hillary,0.14394076388907384,0.0054137987347634845,0.11111111111111112
Jeb Bush,0.13294362134366317,0.0,0.06060606060606061
Barack Obama,0.11425542461916828,0.0,0.05050505050505051
Bill Clinton,0.10429462352498739,0.00023960784628688155,0.05050505050505051
Chris Christie,0.09900057542233431,0.0,0.04040404040404041
Ben Carson,0.0984314930184139,0.0,0.04040404040404041
Bernie Sanders,0.09709157168657391,0.0,0.04040404040404041
John Kasich,0.09670126415079999,0.0,0.04040404040404041
Clintons,0.09577484300367899,4.1228612657184085e-05,0.07070707070707072
Romney,0.09551708734987073,0.0,0.06060606060606061
Ryan,0.09187290309052937,6.871435442864013e-05,0.06060606060606061
Mitt Romney,0.08883593709409589,0.0,0.04040404040404041
Carson,0.08693310646729469,0.0,0.06060606060606061
George W. Bush,0.08165230002967942,0.0,0.030303030303030304
Paul Ryan,0.06948336659689183,0.0,0.030303030303030304
Johnson,0.06807893695825473,0.019171304885590598,0.05050505050505051
Jeb,0.06361585916415428,0.0,0.030303030303030304
Kaine,0.06257379576941059,0.0,0.020202020202020204
anti-Trump,0.06257379576941059,0.0,0.020202020202020204
Donald Trump's,0.06257379576941059,0.0,0.020202020202020204
Donald,0.06257379576941059,0.0,0.020202020202020204
Donald Trump’s,0.06257379576941059,0.0,0.020202020202020204
John McCain,0.06257379576941059,0.0,0.020202020202020204
McMullin,0.06257379576941059,0.0,0.020202020202020204
Reagan,0.06257379576941059,0.0,0.020202020202020204
Mike Pence,0.06257379576941059,0.0,0.020202020202020204
Biden,0.05748028693394779,0.0,0.04040404040404041
Abedin,0.05439163358321488,0.0,0.05050505050505051
Huma,0.05439163358321488,0.0,0.05050505050505051
Putin,0.04861814729949575,0.0,0.04040404040404041
Bernie,0.04621024098067066,0.0,0.020202020202020204
Marco,0.03642677965292371,0.0,0.020202020202020204
Christopher Stevens,0.035384716258180016,0.0,0.010101010101010102
Jim Webb,0.035384716258180016,0.0,0.010101010101010102
Sidney Blumenthal,0.035384716258180016,0.0,0.010101010101010102
Bill Clinton’s,0.035384716258180016,0.0,0.010101010101010102
Vladimir Putin,0.035384716258180016,0.0,0.010101010101010102
Martin O'Malley,0.035384716258180016,0.0,0.010101010101010102
Al Gore,0.035384716258180016,0.0,0.010101010101010102
Robby Mook,0.035384716258180016,0.0,0.010101010101010102
Comey,0.035384716258180016,0.0,0.010101010101010102
Sullivan,0.035384716258180016,0.0,0.010101010101010102
Reid,0.035384716258180016,0.0,0.010101010101010102
Powell,0.035384716258180016,0.0,0.010101010101010102
Gowdy,0.035384716258180016,0.0,0.010101010101010102
Blumenthal,0.035384716258180016,0.0,0.010101010101010102
Williams,0.035384716258180016,0.0,0.010101010101010102
Michelle Obama,0.035384716258180016,0.0,0.010101010101010102
Jordan,0.035384716258180016,0.0,0.010101010101010102
Tipper,0.035384716258180016,0.0,0.010101010101010102
Rodham,0.035384716258180016,0.0,0.010101010101010102
Hillary Rodham,0.035384716258180016,0.0,0.010101010101010102
Gore,0.035384716258180016,0.0,0.010101010101010102
Bataclan,0.035384716258180016,0.0,0.010101010101010102
Latinos,0.035384716258180016,0.0,0.010101010101010102
John Podesta,0.035384716258180016,0.0,0.010101010101010102
Bill,0.035384716258180016,0.0,0.010101010101010102
Joe Biden,0.035384716258180016,0.0,0.010101010101010102
Elizabeth Warren,0.035384716258180016,0.0,0.010101010101010102
Hillary Rodham Clinton,0.035384716258180016,0.0,0.010101010101010102
Sanders,0.035384716258180016,0.0,0.010101010101010102
Hillary Clinton's,0.035384716258180016,0.0,0.010101010101010102
Hillary Clinton’s,0.035384716258180016,0.0,0.010101010101010102
Stevens,0.035384716258180016,0.0,0.010101010101010102
Whitewater,0.035384716258180016,0.0,0.010101010101010102
Monica Lewinsky,0.035384716258180016,0.0,0.010101010101010102
Lewinsky,0.035384716258180016,0.0,0.010101010101010102
Osama bin Laden,0.035384716258180016,0.0,0.010101010101010102
Kennedy,0.035384716258180016,0.0,0.010101010101010102
Gary Johnson,0.035384716258180016,0.0,0.010101010101010102
Tim Kaine,0.035384716258180016,0.0,0.010101010101010102
Richard Nixon,0.035384716258180016,0.0,0.010101010101010102
Chelsea,0.035384716258180016,0.0,0.010101010101010102
McCain,0.02940019998863001,0.0,0.030303030303030304
Manafort,0.02718907951123058,0.0,0.010101010101010102
Khan,0.02718907951123058,0.0,0.010101010101010102
Lewandowski,0.02718907951123058,0.0,0.010101010101010102
Scalia,0.019336211543855193,0.019171304885590598,0.04040404040404041
Netanyahu,0.019217947310865797,0.0,0.030303030303030304
McConnell,0.019217947310865797,0.0,0.030303030303030304
Murphy,0.019078504260268817,0.0,0.010101010101010102
Common Core,0.019078504260268817,0.0,0.010101010101010102
Kerry,0.017772600868046343,0.0,0.010101010101010102
Stein,0.005120060001483564,0.0,0.010101010101010102
Antonin Scalia,0.001454240741372015,0.0,0.010101010101010102
Tai,6.265148607493202e-17,0.0,0.020202020202020204
Gray,6.265148607493202e-17,0.0,0.020202020202020204
Roberts,6.265148607493202e-17,0.0,0.020202020202020204
Francis,6.265148607493202e-17,0.0,0.020202020202020204
Davis,6.265148607493202e-17,0.0,0.020202020202020204
