node,eigenvector,Betweenes,Degree
Clinton,0.463954147458165,0.23056653491436102,0.6086956521739131
Hillary Clinton,0.43315799311181874,0.06455862977602109,0.4782608695652174
Hillary,0.4023618661785063,0.08234519104084319,0.43478260869565216
Trump,0.3309317439630417,0.005928853754940711,0.30434782608695654
Donald Trump,0.30051797370915034,0.11462450592885375,0.34782608695652173
Obama,0.2938687716975122,0.05928853754940711,0.30434782608695654
Comey,0.22706897879266846,0.0,0.21739130434782608
Clintons,0.19329315057386626,0.0,0.13043478260869565
Bill Clinton,0.13344301379815726,0.0,0.08695652173913043
Hillary Clinton’s,0.13344301379815726,0.0,0.08695652173913043
John Podesta,0.06901197274231553,0.0,0.043478260869565216
Huma Abedin,0.06901197274231553,0.0,0.043478260869565216
James Comey,0.06901197274231553,0.0,0.043478260869565216
Bill,0.059850136782401635,0.0,0.043478260869565216
Putin,0.051350439608642405,0.0,0.13043478260869565
Melania Trump,0.044701237597004374,0.0,0.043478260869565216
Eric Trump,0.044701237597004374,0.0,0.043478260869565216
Bush,3.556740732370832e-06,0.0,0.08695652173913043
Reagan,3.556740732370832e-06,0.0,0.08695652173913043
Nixon,3.556740732370832e-06,0.0,0.08695652173913043
Zika,2.7413033694786308e-08,0.0,0.08695652173913043
Soros,2.7413033694786308e-08,0.0,0.08695652173913043
Morris,2.7413033694786308e-08,0.0,0.08695652173913043
Doss,2.7413033694786308e-08,0.0,0.08695652173913043
